species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1), t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),sp_opt_temp,dec_gr
Sardinella maderensis,sm,39.12,630,0.7,0.9,-0.32,6.06,19.25,0.09,21,-0.02
Sardinella maderensis,sm,39.12,630,0.7,0.9,-0.32,6.06,19.25,0.24,21,-0.02
Sardinella maderensis,sm,39.12,630,0.7,0.9,-0.32,6.06,19.25,0.35,21,-0.02
Sardinella maderensis,sm,39.12,630,0.7,0.9,-0.32,6.06,19.25,0.43,21,-0.02
Sardinella maderensis,sm,39.12,630,0.7,0.9,-0.32,6.06,19.25,1.62,21,-0.02
Sardinella maderensis,sm,39.12,630,0.7,0.9,-0.32,6.06,19.25,1.8,21,-0.02
Sardinella maderensis,sm,39.12,730,0.7,0.9,-0.32,6.06,19.25,2.41,21,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,1.62,16.3,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,2.41,16.3,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,1.8,16.3,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,0.09,16.3,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,0.35,16.3,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,0.24,16.3,-0.02
Lutjanus fulgens,lf,51.09,730,0.47,0.78,-0.3,6.41,31.5,0.43,16.3,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,1.62,28.2,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,2.41,28.2,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,1.8,28.2,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.09,28.2,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.35,28.2,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.24,28.2,-0.02
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.43,28.2,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,1.62,26.4,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,2.41,26.4,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,1.8,26.4,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.09,26.4,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.35,26.4,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.24,26.4,-0.02
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.43,26.4,-0.02
