species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1), t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),Reference
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,1.62,Benamar (2019); fishbase.sehttps://www.fishbase.se/summary/Sardinella-aurita.html; Ofori-Danson et al. (2018)
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,2.41,
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,1.8,
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,0.09,
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,0.35,
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,0.24,
Sardinella aurita,sa,41,800,0.47,0.74,-0.3,5,13,0.43,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,1.62,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,2.41,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,1.8,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,0.09,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,0.35,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,0.24,
Sardinella aurita,sa1,34.21,800,0.39,0.79,-1.34,5,13,0.43,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,1.62,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,2.41,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,1.8,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,0.09,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,0.35,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,0.24,
Sardinella aurita,sa2,21.5,104,0.25,0.76,-0.74,12,5.99,0.43,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,1.62,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,2.41,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,1.8,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,0.09,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,0.35,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,0.24,
Sardinella aurita,sa3,37.5,1055,1.02,0.7,-0.6,5,27,0.43,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,1.62,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,2.41,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,1.8,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,0.09,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,0.35,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,0.24,
Sardinella maderensis,sm,44.63,960,0.38,0.81,-0.39,7.51,13.99,0.43,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,1.62,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,2.41,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,1.8,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.09,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.35,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.24,
Sardinella maderensis,sm1,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.43,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,1.62,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,2.41,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,1.8,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,0.09,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,0.35,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,0.24,
Sardinella maderensis,sm2,27.25,269.5,1.26,0.74,-2.88,7.51,24.5,0.43,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,1.62,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,2.41,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,1.8,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,0.09,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,0.35,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,0.24,
Sardinella maderensis,sm3,27.25,269.5,0.48,0.74,-1.76,7.51,24.5,0.43,
Sardinella sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,1.62,
Sardinella sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,2.41,
