species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1), t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1)
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,1.62
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,2.41
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,1.8
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,0.09
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,0.35
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,0.24
Apsilus fuscus,ap,53.5,?,0.5,0.74,-0.48,5.52,32.8,0.43
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,1.62
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,2.41
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,1.8
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,0.09
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,0.35
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,0.24
Lutjanus fulgens,lf,51.09,?,0.47,0.78,-0.3,6.41,31.5,0.43
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,1.62
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,2.41
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,1.8
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.09
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.35
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.24
L. sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.43
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,1.62
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,2.41
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,1.8
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.09
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.35
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.24
L. Johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.43
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,1.62
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,2.41
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,1.8
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.09
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.35
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.24
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.43
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,1.62
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,2.41
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,1.8
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,0.09
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,0.35
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,0.24
Sardinella aurita,sa,31.3,579.5,0.64,0.73,-0.52,8.5,16.75,0.43
