growth_strategy,species,stationary_highest,stationary_lowest,stationary_percentage_decline ,nonstationary_highest,nonstationary_lowest,nonstationary_percentage_decline ,low_posit5,low_negt5,medium_posit5,medium_negt5,high_posit5,high_negt5,factor_chnge_stat_over_nonstat_hst_1,pfactor_chnge_nonstat_minus_stat_allover_stat_hst,factor_chnge_stat_over_nonstat_lst_1,pfactor_chnge_nonstat_minus_stat_allover_stat_lst,sp_opt_temp
Fast,Apsilus fuscus,0.42,0.29,31,0.41,0.29,29,0.11,0.095,0.1,0.08,0.085,0.065,1.024390244,2.380952381,1,0,16.8
Fast,Caranx crysos,0.37,0.2,46,0.36,0.2,44,0.095,0.08,0.077,0.065,0.055,0.045,1.027777778,2.702702703,1,0,24.9
Fast,Pagrus caeruloestictus,0.5,0.36,28,0.49,0.36,27,0.14,0.102,0.12,0.095,0.09,0.08,1.020408163,2,1,0,17.5
Slow,Pseudotolithus senegalensis,0.34,0.14,59,0.33,0.145,56,0.085,0.075,0.06,0.05,0.04,0.03,1.03030303,2.941176471,0.965517241,-3.571428571,26.3
Fast,Lutjanus fulgens,0.34,0.23,32,0.33,0.24,27,0.09,0.075,0.08,0.065,0.065,0.05,1.03030303,2.941176471,0.958333333,-4.347826087,16.3
Slow,Lutjanus johnii,0.27,0.16,41,0.265,0.16,40,,0.06,,0.047,,0.035,1.018867925,1.851851852,1,0,28.2
Slow,Lutjanus sebae,0.345,0.17,51,0.33,0.18,45,0.085,0.075,0.065,0.055,0.055,0.04,1.045454545,4.347826087,0.944444444,-5.882352941,27.1
Fast,Sardinella aurita,0.71,0.51,28,0.67,0.51,24,0.21,0.16,0.18,0.145,0.145,0.125,1.059701493,5.633802817,1,0,18.8
Fast,Sardinella maderensis,0.72,0.4,44,0.66,0.44,39,0.23,0.16,0.17,0.13,0.12,0.09,1.090909091,8.333333333,0.909090909,-10,21
Fast,Engraulis encrasicolus,0.37,0.19,49,0.36,0.19,47,0.095,0.08,0.077,0.067,0.05,0.045,1.027777778,2.702702703,1,0,10.8
Fast,Scomber colias,0.31,0.229,26,0.304,0.227,25,0.075,0.065,0.07,0.06,0.06,0.05,1.019736842,1.935483871,1.008810573,0.873362445,22.5
Fast,Dentex angolensis,0.33,0.2,39,0.323,0.198,39,,0.075,,0.065,,0.045,1.021671827,2.121212121,1.01010101,1,16.7
Slow,Sphyraena sphyraena,0.318,0.295,7,0.305,0.295,3,0.074,0.068,0.072,0.067,0.07,0.063,1.042622951,4.088050314,1,0,18.3
Slow,Galeocerdo cuvier,0.425,0.375,12,0.41,0.385,6,0.1025,0.09,0.1,0.08,0.975,0.0775,1.036585366,3.529411765,0.974025974,-2.666666667,26.4
Fast,Sardinops sagax,0.4,0.21,48,0.39,0.21,46,0.11,,0.085,,0.06,,1.025641026,2.5,1,0,17.9
