growth_strategy,species,stationary_highest,stationary_lowest,stationary_percentage_decline ,nonstationary_highest,nonstationary_lowest,nonstationary_percentage_decline ,low_posit5,low_negt5,medium_posit5,medium_negt5,high_posit5,high_negt5,factor_chnge_stat_over_nonstat_hst_1,pfactor_chnge_nonstat_minus_stat_allover_stat_hst,factor_chnge_stat_over_nonstat_lst_1,pfactor_chnge_nonstat_minus_stat_allover_stat_lst,sp_opt_temp
Fast,Apsilus fuscus,0.57,0.31,45.61403509,0.415,0.297,28.43373494,0.16,0.12,0.135,0.1,0.1,0.07,1.373493976,27.19298246,1.043771044,4.193548387,16.8
Fast,Caranx crysos,0.505,0.205,59.40594059,0.37,0.2,45.94594595,0.17,0.08,0.1,0.07,0.06,0.045,1.364864865,26.73267327,1.025,2.43902439,24.9
Fast,Pagrus caeruleostictus,0.62,0.38,38.70967742,0.498,0.37,25.70281124,0.18,0.13,0.14,0.12,0.1,0.08,1.24497992,19.67741935,1.027027027,2.631578947,17.5
Slow,Pseudotolithus senegalensis,0.5,0.145,71,0.355,0.145,59.15492958,0.14,0.1,0.075,0.055,0.04,0.03,1.408450704,29,1,0,26.3
Fast,Lutjanus fulgens,0.52,0.28,46.15384615,0.35,0.24,31.42857143,0.14,0.105,0.12,0.08,0.08,0.06,1.485714286,32.69230769,1.166666667,14.28571429,16.3
Slow,Lutjanus johnii,0.39,0.165,57.69230769,0.28,0.17,39.28571429,,0.079,,0.058,,0.038,1.392857143,28.20512821,0.970588235,-3.03030303,28.2
Slow,Lutjanus sebae,0.5,0.18,64,0.33,0.185,43.93939394,0.14,0.1,0.085,0.065,0.065,0.045,1.515151515,34,0.972972973,-2.777777778,27.1
Fast,Sardinella aurita,1.25,0.505,59.6,0.68,0.5,26.47058824,0.295,0.199,0.235,0.17,0.17,0.13,1.838235294,45.6,1.01,0.99009901,18.8
Fast,Sardinella maderensis,1.3,0.4,69.23076923,0.625,0.4,36,0.3,0.298,0.22,0.15,0.13,0.1,2.08,51.92307692,1,0,21
Fast,Engraulis encrasicolus,0.51,0.2,60.78431373,0.38,0.2,47.36842105,0.18,0.135,0.11,0.08,0.055,0.045,1.342105263,25.49019608,1,0,10.8
Fast,Scomber colias,0.48,0.24,50,0.305,0.225,26.2295082,0.124,0.0875,0.1,0.074,0.075,0.05,1.573770492,36.45833333,1.066666667,6.25,22.5
Fast,Dentex angolensis,0.71,0.24,66.1971831,0.37,0.2,45.94594595,0.155,0.11,0.125,0.085,0.07,0.05,1.918918919,47.88732394,1.2,16.66666667,16.7
Slow,Sphyraena sphyraena,0.35,0.31,4,0.31,0.29,2,0.09,0.077,0.0875,0.075,0.0825,0.07,1.129032258,0.114285714,1.068965517,6.451612903,18.3
Slow,Galeocerdo cuvier,0.58,0.32,44.82758621,0.41,0.31,24.3902439,0.14,0.105,0.1,0.085,0.07,0.065,1.414634146,29.31034483,1.032258065,3.125,26.4
Fast,Sardinops sagax,0.6,0.23,61.66666667,0.405,0.205,49.38271605,0.16,,0.125,,0.065,,1.481481481,32.5,1.12195122,10.86956522,17.9
