species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1),t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),sp_opt_temp,dec_gr,scaler,exponent
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,0.26,16.8,-0.01,0.0172,2.84
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,0.4,16.8,-0.01,0.0172,2.84
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,0.1,16.8,-0.01,0.0172,2.84
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,0.01,16.8,-0.01,0.0172,2.84
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,0.73,16.8,-0.01,0.0172,2.84
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,0.178,16.8,-0.01,0.0172,2.84
Apsilus fuscus,ap,53.5,,0.5,0.74,-0.48,5.52,32.8,1.77,16.8,-0.01,0.0172,2.84
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,0.26,24.9,-0.01,0.0306,2.861
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,0.4,24.9,-0.01,0.0306,2.861
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,0.1,24.9,-0.01,0.0306,2.861
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,0.01,24.9,-0.01,0.0306,2.861
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,0.73,24.9,-0.01,0.0306,2.861
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,0.178,24.9,-0.01,0.0306,2.861
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,6.94,14.9,1.77,24.9,-0.01,0.0306,2.861
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,0.26,16.7,-0.01,0.0306,2.998
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,0.4,16.7,-0.01,0.0306,2.998
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,0.1,16.7,-0.01,0.0306,2.998
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,0.01,16.7,-0.01,0.0306,2.998
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,0.73,16.7,-0.01,0.0306,2.998
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,0.178,16.7,-0.01,0.0306,2.998
Dentex angolensis,da,31.5,798.1,0.75,1.05,-0.2,7,17.9,1.77,16.7,-0.01,0.0306,2.998
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,0.26,10.8,-0.01,0.0045,3.0916
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,0.4,10.8,-0.01,0.0045,3.0916
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,0.1,10.8,-0.01,0.0045,3.0916
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,0.01,10.8,-0.01,0.0045,3.0916
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,0.73,10.8,-0.01,0.0045,3.0916
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,0.178,10.8,-0.01,0.0045,3.0916
Engraulis encrasicolus,ee,16.37,23.52,0.43,0.66,-0.37,5,3.71,1.77,10.8,-0.01,0.0045,3.0916
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,0.26,17.5,-0.01,0.02042,2.94
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,0.4,17.5,-0.01,0.02042,2.94
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,0.1,17.5,-0.01,0.02042,2.94
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,0.01,17.5,-0.01,0.02042,2.94
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,0.73,17.5,-0.01,0.02042,2.94
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,0.178,17.5,-0.01,0.02042,2.94
Pagrus caeruleostictus,pc,52.7,11600,0.52,0.83,-0.8,5.75,17.3,1.77,17.5,-0.01,0.02042,2.94
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,0.26,16.3,-0.01,0.0192,2.8959
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,0.4,16.3,-0.01,0.0192,2.8959
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,0.1,16.3,-0.01,0.0192,2.8959
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,0.01,16.3,-0.01,0.0192,2.8959
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,0.73,16.3,-0.01,0.0192,2.8959
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,0.178,16.3,-0.01,0.0192,2.8959
Lutjanus fulgens,lf,51.09,,0.47,0.78,-0.3,6.41,31.5,1.77,16.3,-0.01,0.0192,2.8959
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.26,17.9,-0.01,0.0000503,3.26
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.4,17.9,-0.01,0.0000503,3.26
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.1,17.9,-0.01,0.0000503,3.26
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.01,17.9,-0.01,0.0000503,3.26
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.73,17.9,-0.01,0.0000503,3.26
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,0.178,17.9,-0.01,0.0000503,3.26
Sardinops sagax,ss,25,210,0.37,0.48,-0.28,9,14.5,1.77,17.9,-0.01,0.0000503,3.26
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,0.26,18.8,-0.01,0.0079,3
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,0.4,18.8,-0.01,0.0079,3
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,0.1,18.8,-0.01,0.0079,3
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,0.01,18.8,-0.01,0.0079,3
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,0.73,18.8,-0.01,0.0079,3
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,0.178,18.8,-0.01,0.0079,3
Sardinella aurita,sa,37.5,1055,1.02,0.7,-0.6,10.7,27.5,1.77,18.8,-0.01,0.0079,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,0.26,21,-0.01,0.4392,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,0.4,21,-0.01,0.4392,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,0.1,21,-0.01,0.4392,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,0.01,21,-0.01,0.4392,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,0.73,21,-0.01,0.4392,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,0.178,21,-0.01,0.4392,3
Sardinella maderensis,sm,37.5,1055,1.01,0.5,-0.4,8.1,24.5,1.77,21,-0.01,0.4392,3
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.26,22.5,-0.01,0.0095,2.9487
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.4,22.5,-0.01,0.0095,2.9487
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.1,22.5,-0.01,0.0095,2.9487
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.01,22.5,-0.01,0.0095,2.9487
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.73,22.5,-0.01,0.0095,2.9487
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.178,22.5,-0.01,0.0095,2.9487
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,1.77,22.5,-0.01,0.0095,2.9487
