species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1),t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),sp_opt_temp,dec_gr,scaler,exponent
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.26,26.4,-0.01,0.000001,3.15
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.4,26.4,-0.01,0.000001,3.15
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.1,26.4,-0.01,0.000001,3.15
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.01,26.4,-0.01,0.000001,3.15
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.73,26.4,-0.01,0.000001,3.15
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,0.178,26.4,-0.01,0.000001,3.15
Galeocerdo cuvier,gc,558,804600,0.16,0.58,-2.3,32,5,1.77,26.4,-0.01,0.000001,3.15
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,0.26,28.2,-0.01,0.0567,2.66
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,0.4,28.2,-0.01,0.0567,2.66
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,0.1,28.2,-0.01,0.0567,2.66
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,0.01,28.2,-0.01,0.0567,2.66
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,0.73,28.2,-0.01,0.0567,2.66
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,0.178,28.2,-0.01,0.0567,2.66
Lutjanus johnii,lj,99.33,10920,0.16,0.52,-0.84,14.6,27.08,1.77,28.2,-0.01,0.0567,2.66
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,0.26,27.1,-0.01,0.019,3.01
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,0.4,27.1,-0.01,0.019,3.01
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,0.1,27.1,-0.01,0.019,3.01
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,0.01,27.1,-0.01,0.019,3.01
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,0.73,27.1,-0.01,0.019,3.01
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,0.178,27.1,-0.01,0.019,3.01
Lutjanus sebae,ls,116,17630,0.19,0.41,-0.66,16.6,39.8,1.77,27.1,-0.01,0.019,3.01
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,0.26,26.3,-0.01,0.00851,3.25
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,0.4,26.3,-0.01,0.00851,3.25
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,0.1,26.3,-0.01,0.00851,3.25
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,0.01,26.3,-0.01,0.00851,3.25
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,0.73,26.3,-0.01,0.00851,3.25
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,0.178,26.3,-0.01,0.00851,3.25
Pseudotolithus senegalensis,ps,110.3,12000,0.2,0.42,-0.6,15,22.8,1.77,26.3,-0.01,0.00851,3.25
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,0.26,18.3,-0.01,0.01355,2.634
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,0.4,18.3,-0.01,0.01355,2.634
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,0.1,18.3,-0.01,0.01355,2.634
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,0.01,18.3,-0.01,0.01355,2.634
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,0.73,18.3,-0.01,0.01355,2.634
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,0.178,18.3,-0.01,0.01355,2.634
Sphyraena sphyraena,ss,63.65,3600,0.14,0.83,-2.01,8,39.3,1.77,18.3,-0.01,0.01355,2.634
